,Quarter,All IE,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
0,2011Q1,1875,17,61,52,207,118,287,108,62,126,40,34,42,54,11,48,67,70,26,28,26,52,63,96,33,73,74
1,2011Q2,1791,24,28,49,236,139,327,125,67,42,50,33,13,49,14,53,59,64,21,36,54,34,94,29,37,77,37
2,2011Q3,1687,24,45,47,215,115,181,114,77,42,84,25,14,55,12,31,124,76,33,24,38,35,73,30,24,89,60
3,2011Q4,1641,38,37,57,219,88,169,125,79,76,54,33,16,95,13,37,88,68,32,29,31,24,68,35,28,55,47
4,2012Q1,1131,17,20,44,142,114,110,83,46,51,26,24,15,27,17,23,41,41,42,15,19,62,40,18,24,47,23
5,2012Q2,1117,10,23,38,142,74,100,78,48,44,18,43,7,55,24,28,56,47,18,18,25,67,30,19,18,49,38
6,2012Q3,1205,11,23,39,155,92,145,76,40,42,21,31,13,47,29,59,54,42,27,23,16,22,57,23,21,39,58
7,2012Q4,1458,17,33,39,170,78,229,96,84,70,44,26,9,108,7,81,45,63,15,26,16,18,41,38,20,55,30
8,2013Q1,889,7,15,27,104,54,113,78,39,34,19,13,10,46,8,48,38,36,16,12,22,30,25,23,13,29,30
9,2013Q2,1146,10,17,31,170,60,185,88,42,52,34,24,12,36,7,79,45,37,15,14,16,15,38,21,18,39,41
10,2013Q3,1033,16,16,26,117,62,181,71,54,51,31,18,10,24,9,37,41,33,18,10,20,23,23,24,17,60,41
11,2013Q4,1507,9,21,39,178,74,350,74,59,57,28,30,9,108,11,41,90,54,36,19,22,22,48,23,18,61,26
12,2014Q1,1094,22,25,38,100,55,301,71,40,58,20,24,7,27,17,27,35,39,11,14,17,9,28,20,23,37,29
13,2014Q2,1318,18,22,34,140,62,441,77,42,65,22,15,7,39,8,29,50,53,17,11,10,21,33,15,12,39,36
14,2014Q3,1404,21,23,45,144,63,432,84,44,75,25,15,8,38,15,46,45,61,21,22,17,12,34,12,15,51,36
15,2014Q4,1702,12,32,44,177,76,534,78,52,102,36,25,14,28,14,44,51,71,23,20,23,18,38,34,34,68,54
16,2015Q1,1371,17,17,22,138,51,445,73,30,107,18,16,11,36,6,67,36,53,21,17,10,16,36,17,11,49,51
17,2015Q2,1570,15,12,39,177,67,438,89,40,145,23,21,10,33,19,27,44,78,26,21,24,9,38,42,20,53,60
18,2015Q3,2033,34,24,34,195,58,563,113,57,163,33,25,17,64,13,30,65,88,28,54,20,22,44,94,26,67,102
19,2015Q4,2245,33,38,51,268,69,671,114,65,162,36,22,17,79,12,47,51,106,44,20,16,27,53,44,28,92,80
20,2016Q1,1958,15,20,36,201,57,792,98,42,122,24,27,9,58,15,38,40,88,19,18,15,13,34,41,24,57,55
21,2016Q2,2384,18,47,50,229,83,844,136,67,153,38,27,18,67,15,58,50,143,20,18,27,21,43,30,21,82,79
22,2016Q3,2479,24,43,55,251,74,839,141,77,141,47,21,14,64,13,39,67,199,21,19,24,32,48,52,30,56,88
23,2016Q4,3000,26,35,85,280,75,1089,133,64,219,49,27,17,86,16,65,91,183,27,30,17,22,35,98,31,67,133
24,2017Q1,2758,16,35,58,280,76,1040,147,54,195,43,28,13,81,9,76,37,176,22,31,17,20,32,60,22,90,100
25,2017Q2,3245,26,39,49,314,93,1256,148,79,215,37,26,22,88,18,61,72,229,37,35,19,24,48,72,29,82,127
26,2017Q3,3743,30,27,84,333,95,1515,162,86,259,56,24,23,95,23,114,59,280,40,36,25,34,46,52,41,87,117
27,2017Q4,4550,27,38,62,455,99,1750,185,87,316,58,40,18,210,25,120,72,404,49,32,41,48,57,95,40,86,136
28,2018Q1,3449,47,35,56,343,87,1193,145,92,245,29,39,14,125,14,125,70,292,25,26,31,32,38,68,35,103,140
29,2018Q2,4376,44,39,55,441,90,1792,173,82,270,51,91,14,140,16,153,70,339,40,21,31,36,44,81,26,116,121
30,2018Q3,4623,40,38,75,446,125,1851,149,118,326,54,53,18,109,11,135,81,395,33,23,38,44,42,114,32,148,125
31,2018Q4,5424,97,47,56,505,131,2021,206,99,381,88,52,15,134,25,184,94,482,32,36,47,54,73,162,77,123,203
32,2019Q1,4242,41,31,55,424,85,1474,174,80,396,54,33,11,87,39,173,96,294,62,40,39,11,72,76,52,135,208
33,2019Q2,4821,41,32,120,534,111,1472,238,102,394,49,48,11,163,15,135,81,469,57,38,34,42,81,85,59,175,235
34,2019Q3,5643,40,38,102,436,133,1941,294,116,487,93,82,11,127,28,157,95,471,98,51,35,36,86,144,63,125,354
35,2019Q4,6420,73,36,107,751,101,2051,343,147,624,94,76,7,176,50,204,170,404,64,99,48,29,77,141,72,153,323
36,2020Q1,4951,25,37,76,597,122,1642,250,84,332,112,65,5,127,19,115,121,381,44,45,28,74,71,130,84,141,224
37,2020Q2,3243,45,30,71,332,99,834,154,58,280,67,62,5,64,17,190,53,302,33,25,31,11,60,84,55,112,169
38,2020Q3,5047,66,63,113,733,131,1102,243,182,493,87,81,12,138,31,147,130,388,59,43,46,51,87,124,59,162,276
