unit,s_adj,indic,nace_r2,geo\time	2023Q1 	2022Q4 	2022Q3 	2022Q2 	2022Q1 	2021Q4 	2021Q3 	2021Q2 	2021Q1 	2020Q4 	2020Q3 	2020Q2 	2020Q1 	2019Q4 	2019Q3 	2019Q2 	2019Q1 	2018Q4 	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 	2004Q4 	2004Q3 	2004Q2 	2004Q1 	2003Q4 	2003Q3 	2003Q2 	2003Q1 	2002Q4 	2002Q3 	2002Q2 	2002Q1 	2001Q4 	2001Q3 	2001Q2 	2001Q1 	2000Q4 	2000Q3 	2000Q2 	2000Q1 	1999Q4 	1999Q3 	1999Q2 	1999Q1 	1998Q4 	1998Q3 	1998Q2 	1998Q1 	1997Q4 	1997Q3 	1997Q2 	1997Q1 	1996Q4 	1996Q3 	1996Q2 	1996Q1 	1995Q4 	1995Q3 	1995Q2 	1995Q1 	1994Q4 	1994Q3 	1994Q2 	1994Q1 	1993Q4 	1993Q3 	1993Q2 	1993Q1 	1992Q4 	1992Q3 	1992Q2 	1992Q1 	1991Q4 	1991Q3 	1991Q2 	1991Q1 	1990Q4 	1990Q3 	1990Q2 	1990Q1 	1989Q4 	1989Q3 	1989Q2 	1989Q1 	1988Q4 	1988Q3 	1988Q2 	1988Q1 	1987Q4 	1987Q3 	1987Q2 	1987Q1 	1986Q4 	1986Q3 	1986Q2 	1986Q1 	1985Q4 	1985Q3 	1985Q2 	1985Q1 	1984Q4 	1984Q3 	1984Q2 	1984Q1 	1983Q4 	1983Q3 	1983Q2 	1983Q1 	1982Q4 	1982Q3 	1982Q2 	1982Q1 	1981Q4 	1981Q3 	1981Q2 	1981Q1 	1980Q4 	1980Q3 	1980Q2 	1980Q1 
I2015,NSA,IS-EPI,F,AL	: 	124.4 	127.0 	126.3 	129.5 	121.6 	122.6 	123.8 	123.7 	119.4 	119.9 	118.9 	117.4 	114.0 	116.2 	116.7 	116.4 	113.8 	112.3 	114.6 	113.3 	110.7 	109.9 	108.6 	107.5 	108.7 	107.1 	104.6 	104.4 	105.3 	97.7 	100.3 	96.8 	93.8 	89.9 	87.7 	87.6 	75.5 	74.8 	75.7 	80.2 	73.6 	79.0 	85.3 	87.3 	76.3 	77.9 	79.6 	81.2 	79.2 	87.0 	88.9 	90.4 	82.7 	88.9 	93.0 	93.6 	82.5 	81.2 	85.2 	87.4 	64.6 	60.5 	64.7 	66.3 	64.9 	64.9 	67.7 	67.3 	64.2 	65.1 	68.4 	67.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
I2015,NSA,IS-EPI,F,AT	: 	121.7 	126.5 	125.0 	115.5 	119.9 	124.7 	122.6 	110.8 	116.9 	121.5 	116.0 	105.7 	114.7 	118.7 	115.9 	103.6 	109.9 	114.1 	110.6 	96.2 	104.8 	109.3 	106.4 	92.1 	103.0 	106.0 	103.1 	89.1 	101.5 	106.4 	103.2 	88.9 	102.8 	107.6 	104.6 	90.7 	104.9 	109.9 	106.5 	90.5 	104.9 	110.0 	106.3 	90.9 	102.9 	108.0 	104.3 	89.9 	100.3 	106.0 	102.6 	87.3 	101.7 	107.2 	103.1 	88.3 	98.3 	103.4 	100.0 	87.4 	100.0 	105.1 	101.3 	86.3 	99.8 	105.0 	100.1 	80.6 	98.8 	103.4 	99.8 	81.1 	98.9 	104.4 	100.5 	83.9 	99.5 	104.7 	101.4 	84.8 	95.3 	100.0 	96.7 	82.4 	98.1 	103.6 	100.4 	85.9 	104.2 	109.3 	106.1 	89.9 	104.8 	110.9 	108.3 	91.3 	110.3 	116.1 	111.8 	95.7 	102.6 	107.8 	103.2 	87.3 	105.0 	109.8 	105.4 	84.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
I2015,NSA,IS-EPI,F,BE	: 	: c	116.3 p	116.0 p	115.8 p	114.3 p	113.9 	113.0 	109.1 	108.2 	108.1 	107.4 	108.4 	109.2 	109.6 	109.1 	108.7 	107.6 	106.3 	105.9 	105.7 	103.9 	103.7 	103.8 	103.2 	101.8 	101.7 	101.3 	100.8 	100.1 	100.1 	100.0 	99.9 	100.2 	100.7 	100.6 	100.8 	100.9 	102.2 	102.3 	102.7 	103.0 	103.4 	103.1 	102.9 	103.0 	102.6 	101.7 	101.3 	100.7 	100.2 	99.4 	98.8 	98.6 	98.9 	98.4 	98.2 	98.5 	99.0 	98.3 	98.5 	96.7 	96.0 	94.7 	93.9 	92.8 	91.9 	90.7 	89.7 	88.5 	88.5 	87.1 	86.5 	86.1 	86.3 	86.1 	85.7 	85.9 	86.8 	87.5 	91.6 	82.8 	83.4 	83.2 	83.5 	83.2 	83.6 	83.2 	82.7 	82.2 	81.4 	80.2 	79.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
I2015,NSA,IS-EPI,F,BG	: 	88.9 p	89.1 p	90.9 p	92.0 p	91.9 p	92.8 p	94.9 p	94.5 p	103.3 	102.5 	101.2 	99.1 	104.9 	103.9 	102.9 	101.2 	101.9 	101.9 	100.5 	96.6 	99.7 	100.9 	100.2 	97.1 	95.3 	96.9 	95.9 	95.3 	97.0 	101.8 	101.8 	99.4 	99.8 	104.1 	103.1 	100.4 	95.4 	98.5 	99.0 	98.5 	98.0 	102.8 	104.3 	102.5 	103.1 	111.5 	112.9 	113.9 	113.7 	124.2 	127.7 	131.8 	147.6 	156.6 	165.8 	171.9 	184.5 	188.3 	170.0 	173.4 	139.9 	141.0 	139.8 	134.7 	129.7 	132.7 	123.2 	115.5 	112.7 	115.4 	106.2 	100.5 	94.3 	96.3 	89.5 	81.8 	83.0 	84.1 	75.7 	69.9 	72.6 	73.3 	70.7 	69.1 	68.4 	73.7 	75.2 	66.6 	70.7 	74.9 	74.7 	75.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
I2015,NSA,IS-EPI,F,CH	: 	106.5 e	106.8 e	105.3 e	104.5 e	103.9 e	105.8 e	103.2 e	101.4 e	102.1 e	104.5 e	103.8 e	102.3 e	103.3 e	104.8 e	103.6 e	101.1 e	100.5 e	103.4 e	102.3 e	100.1 e	100.3 e	101.7 e	101.0 e	98.6 e	99.0 e	101.0 e	100.9 e	98.1 e	99.1 e	101.7 e	100.6 e	98.7 e	98.5 e	101.5 e	100.7 e	98.1 e	98.4 e	101.0 e	99.3 e	96.7 e	97.1 e	99.8 e	97.4 e	95.2 e	95.4 e	97.6 e	95.8 e	93.7 e	94.9 e	96.8 e	95.3 e	92.7 e	92.8 e	95.3 e	93.2 e	91.2 e	91.6 e	95.0 e	93.5 e	92.2 e	92.8 e	94.0 e	91.8 e	89.1 e	88.9 e	91.3 e	89.2 e	85.8 e	86.9 e	89.8 e	87.6 e	83.6 e	85.3 e	88.1 e	85.5 e	84.1 e	85.1 e	87.4 e	86.8 e	83.7 e	84.4 e	87.9 e	86.5 e	83.5 e	83.1 e	88.1 e	87.2 e	83.5 e	83.1 e	86.8 e	85.0 e	83.2 e	82.3 e	85.5 e	85.2 e	81.3 e	81.3 e	87.2 e	86.6 e	83.3 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
I2015,NSA,IS-EPI,F,CY	: 	168.7 	168.3 	168.1 	169.1 	167.4 	166.0 	163.8 	160.5 	163.0 	161.4 	161.2 	158.6 	162.3 	156.0 	153.6 	148.5 	150.1 	142.8 	138.5 	134.9 	132.0 	123.3 	122.7 	118.9 	112.9 	108.7 	106.3 	104.1 	102.2 	100.2 	99.5 	98.0 	99.3 	99.6 	101.3 	101.7 	105.3 	105.5 	113.4 	122.5 	131.4 	134.1 	146.0 	150.3 	158.7 	162.2 	167.6 	169.0 	172.3 	174.6 	177.5 	176.5 	178.6 	180.8 	184.3 	188.7 	190.3 	192.0 	192.4 	185.0 	176.1 	169.8 	167.7 	166.0 	162.8 	156.7 	156.0 	153.7 	152.3 	148.0 	147.5 	148.9 	145.5 	138.6 	138.4 	140.1 	137.9 	131.0 	130.8 	132.0 	125.4 	119.2 	118.9 	120.1 	119.6 	113.6 	113.4 	114.5 	114.6 	108.8 	108.7 	109.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
I2015,NSA,IS-EPI,F,CZ	: 	97.2 	96.9 	97.2 	95.6 	97.8 	98.1 	98.7 	97.5 	103.5 	103.3 	101.9 	100.6 	102.9 	102.9 	102.4 	98.8 	101.0 	100.9 	100.6 	97.4 	99.6 	100.5 	98.7 	95.8 	97.9 	98.6 	98.1 	94.6 	99.4 	101.4 	101.1 	98.2 	99.0 	99.7 	98.7 	95.4 	100.3 	101.7 	100.1 	97.4 	105.1 	107.1 	106.3 	101.6 	106.3 	107.7 	107.1 	102.0 	108.8 	110.4 	108.7 	105.1 	106.8 	109.1 	107.6 	105.7 	110.2 	111.1 	110.4 	107.1 	109.8 	110.1 	108.7 	105.9 	108.8 	109.5 	107.8 	103.5 	106.5 	107.1 	105.7 	101.5 	105.3 	107.0 	105.7 	100.7 	104.1 	104.5 	102.7 	99.2 	102.9 	103.4 	101.7 	98.8 	106.9 	107.4 	105.6 	102.0 	106.8 	108.1 	107.2 	103.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
I2015,NSA,IS-EPI,F,DE	: 	110.7 p	113.2 p	111.4 p	110.7 	110.4 	112.3 	110.5 	109.6 	109.1 	111.0 	108.4 	107.8 	107.4 	109.8 	107.4 	106.1 	105.7 	108.1 	105.8 	103.5 	103.3 	105.9 	103.7 	101.8 	101.2 	103.9 	101.4 	99.2 	99.2 	102.5 	100.2 	98.1 	100.1 	102.3 	100.5 	97.7 	98.8 	101.7 	99.1 	95.4 	97.6 	100.0 	98.3 	94.8 	97.0 	99.4 	97.2 	93.1 	94.7 	96.8 	92.7 	89.5 	91.9 	93.8 	91.7 	88.8 	90.4 	92.6 	90.5 	88.2 	90.1 	91.9 	89.9 	87.4 	90.2 	91.6 	88.7 	83.1 	88.3 	90.1 	88.8 	85.7 	92.9 	95.6 	94.7 	92.3 	99.4 	102.9 	102.0 	99.5 	108.1 	111.8 	111.5 	110.3 	117.7 	121.3 	120.5 	119.6 	128.2 	131.8 	131.6 	129.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
I2015,NSA,IS-EPI,F,DK	: 	127.7 p	128.0 p	126.7 p	124.6 p	125.7 	124.5 	122.1 	119.2 	120.7 	118.9 	115.5 	115.6 	115.7 	115.3 	113.7 	112.0 	114.4 	113.9 	111.2 	108.7 	110.7 	109.6 	106.8 	104.2 	106.7 	105.8 	103.0 	100.0 	103.1 	102.0 	98.9 	96.1 	99.3 	98.8 	95.9 	93.1 	96.0 	96.7 	93.6 	91.0 	108.0 	108.6 	105.5 	102.0 	110.3 	109.9 	105.4 	98.9 	108.2 	109.6 	105.6 	98.6 	113.2 	117.3 	116.3 	118.1 	129.7 	132.9 	132.6 	130.6 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
I2015,NSA,IS-EPI,F,EA19	: 	114.5 	115.8 	115.6 	113.5 	112.8 	113.0 	112.3 	109.7 	110.0 	110.3 	107.3 	107.9 	108.5 	109.4 	108.9 	106.9 	107.1 	107.7 	106.0 	102.8 	103.1 	103.9 	103.1 	100.3 	100.7 	102.0 	101.2 	98.3 	99.6 	101.0 	100.8 	98.6 	100.0 	102.7 	101.7 	98.9 	101.8 	103.9 	103.5 	101.7 	105.5 	108.5 	108.9 	106.9 	110.5 	113.5 	113.8 	112.3 	115.3 	117.9 	117.9 	115.1 	119.9 	122.4 	123.5 	123.3 	128.5 	133.2 	134.6 	133.8 	135.2 	136.0 	134.8 	131.5 	131.4 	130.7 	128.6 	124.0 	126.4 	126.7 	125.2 	121.2 	123.7 	124.5 	123.4 	119.5 	121.3 	122.8 	123.1 	119.4 	121.5 	122.5 	122.2 	119.7 	122.2 	123.5 	122.2 	119.0 	121.9 	123.1 	121.4 	118.2 	119.7 s	120.8 s	119.6 s	114.6 s	118.6 s	120.2 s	118.9 s	114.9 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
