indic_bt,nace_r2,s_adj,unit,geo\time	2023Q1 	2022Q4 	2022Q3 	2022Q2 	2022Q1 	2021Q4 	2021Q3 	2021Q2 	2021Q1 	2020Q4 	2020Q3 	2020Q2 	2020Q1 	2019Q4 	2019Q3 	2019Q2 	2019Q1 	2018Q4 	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 	2004Q4 	2004Q3 	2004Q2 	2004Q1 	2003Q4 	2003Q3 	2003Q2 	2003Q1 	2002Q4 	2002Q3 	2002Q2 	2002Q1 	2001Q4 	2001Q3 	2001Q2 	2001Q1 	2000Q4 	2000Q3 	2000Q2 	2000Q1 	1999Q4 	1999Q3 	1999Q2 	1999Q1 	1998Q4 	1998Q3 	1998Q2 	1998Q1 	1997Q4 	1997Q3 	1997Q2 	1997Q1 	1996Q4 	1996Q3 	1996Q2 	1996Q1 	1995Q4 	1995Q3 	1995Q2 	1995Q1 	1994Q4 	1994Q3 	1994Q2 	1994Q1 	1993Q4 	1993Q3 	1993Q2 	1993Q1 	1992Q4 	1992Q3 	1992Q2 	1992Q1 	1991Q4 	1991Q3 	1991Q2 	1991Q1 	1990Q4 	1990Q3 	1990Q2 	1990Q1 	1989Q4 	1989Q3 	1989Q2 	1989Q1 	1988Q4 	1988Q3 	1988Q2 	1988Q1 	1987Q4 	1987Q3 	1987Q2 	1987Q1 	1986Q4 	1986Q3 	1986Q2 	1986Q1 	1985Q4 	1985Q3 	1985Q2 	1985Q1 	1984Q4 	1984Q3 	1984Q2 	1984Q1 	1983Q4 	1983Q3 	1983Q2 	1983Q1 	1982Q4 	1982Q3 	1982Q2 	1982Q1 	1981Q4 	1981Q3 	1981Q2 	1981Q1 	1980Q4 	1980Q3 	1980Q2 	1980Q1 
PROD,B-D_F,CA,I15,AT	: 	136.7 	127.0 	130.0 	120.0 	133.3 	120.4 	119.9 	109.2 	123.2 	111.9 	97.3 	104.7 	123.5 	115.4 	114.8 	109.0 	126.5 	114.7 	113.2 	102.4 	120.5 	110.5 	106.5 	96.3 	112.4 	103.0 	100.5 	92.9 	107.9 	101.2 	99.5 	91.3 	105.9 	99.9 	99.3 	89.8 	107.2 	101.4 	98.3 	86.8 	106.6 	100.9 	98.1 	86.2 	106.2 	98.8 	97.1 	86.0 	102.4 	94.9 	91.4 	79.2 	96.7 	88.5 	85.6 	81.5 	100.7 	98.8 	98.2 	90.9 	104.9 	98.2 	95.5 	86.7 	102.3 	93.8 	89.7 	79.6 	95.3 	86.6 	84.4 	74.3 	90.7 	83.7 	80.5 	70.9 	83.9 	77.7 	76.2 	70.0 	80.2 	74.4 	75.1 	66.1 	79.8 	74.2 	72.8 	67.0 	80.8 	72.8 	71.2 	61.9 	76.1 	67.6 	66.4 	57.6 	69.9 	64.9 	63.6 	56.6 	64.6 	58.9 	57.3 	51.6 	59.9 	55.1 	53.9 	47.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,BE	: 	123.3 s	115.5 s	121.8 s	123.5 s	122.5 s	118.7 s	126.6 s	117.9 s	112.5 s	103.1 s	100.3 s	109.1 s	113.7 s	106.4 s	115.1 s	110.5 s	109.3 s	103.1 s	109.5 s	107.9 s	107.9 s	103.2 s	108.4 s	105.0 s	105.2 s	100.0 s	105.0 s	104.5 s	101.0 s	94.9 s	102.7 s	101.4 s	100.8 s	96.3 s	104.9 s	104.0 s	104.3 s	96.0 s	103.7 s	98.4 s	100.0 s	97.2 s	104.2 s	103.6 s	102.6 s	98.5 s	105.5 s	105.1 s	100.8 s	93.6 s	100.6 s	96.9 s	93.7 s	87.5 s	95.5 s	91.7 s	98.1 s	97.5 s	105.8 s	104.5 s	102.6 s	92.6 s	100.9 s	97.5 s	97.3 s	87.0 s	96.0 s	90.3 s	91.9 s	82.1 s	90.1 s	86.8 s	89.0 s	80.7 s	87.5 s	83.6 s	82.4 s	76.8 s	83.5 s	80.6 s	81.5 s	74.7 s	83.1 s	80.5 s	79.8 s	74.9 s	83.9 s	80.8 s	81.8 s	74.1 s	80.8 s	74.1 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,BG	: 	120.1 s	121.6 s	119.8 s	116.6 s	116.1 s	108.5 s	104.0 s	101.4 s	104.0 s	99.6 s	90.1 s	100.8 s	107.9 s	104.4 s	103.3 s	104.7 s	107.7 s	104.3 s	103.0 s	100.9 s	108.3 s	104.4 s	102.4 s	98.9 s	105.4 s	99.8 s	96.8 s	95.4 s	104.4 s	99.8 s	99.2 s	96.6 s	101.5 s	96.1 s	93.8 s	93.2 s	99.8 s	96.0 s	89.5 s	89.0 s	98.5 s	96.7 s	93.9 s	87.1 s	97.7 s	96.4 s	94.1 s	90.3 s	97.6 s	95.3 s	91.7 s	84.8 s	95.1 s	93.9 s	94.1 s	92.2 s	112.8 s	116.0 s	116.8 s	109.1 s	117.9 s	112.8 s	108.7 s	102.9 s	106.1 s	101.2 s	96.9 s	89.1 s	99.3 s	91.5 s	87.6 s	83.0 s	88.6 s	83.3 s	79.4 s	76.7 s	78.7 s	72.1 s	67.5 s	68.0 s	69.7 s	64.9 s	61.2 s	59.2 s	66.8 s	59.9 s	57.3 s	60.0 s	65.9 s	57.6 s	54.2 s	58.2 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,CH	: 	130.9 	120.5 	125.1 	121.9 	125.8 	116.2 	120.3 	114.5 	118.4 	108.5 	105.0 	110.3 	120.8 	112.4 	114.5 	109.2 	119.4 	105.7 	111.2 	105.2 	115.0 	104.1 	102.8 	99.2 	106.1 	97.8 	100.1 	96.2 	106.7 	98.2 	99.6 	95.5 	110.1 	99.7 	102.1 	96.3 	108.3 	100.0 	99.9 	93.6 	107.1 	97.6 	99.3 	93.2 	105.1 	96.6 	97.5 	93.0 	102.8 	95.8 	94.8 	90.2 	98.2 	91.3 	88.4 	84.3 	98.7 	96.8 	97.2 	91.5 	104.0 	97.8 	96.5 	87.7 	100.0 	88.9 	88.1 	81.2 	92.3 	83.0 	83.5 	76.7 	87.9 	81.3 	85.3 	77.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,CY	: 	154.1 s	147.0 s	151.4 s	141.7 s	155.6 s	152.2 s	151.8 s	142.5 s	156.8 s	151.0 s	122.0 s	139.2 s	159.8 s	154.9 s	155.6 s	142.2 s	151.3 s	145.0 s	145.1 s	130.3 s	137.5 s	129.3 s	129.6 s	119.3 s	122.4 s	116.2 s	111.7 s	99.6 s	106.0 s	102.3 s	100.6 s	91.1 s	96.8 s	97.0 s	99.7 s	93.2 s	107.5 s	107.0 s	106.6 s	99.1 s	122.6 s	124.1 s	127.7 s	120.8 s	150.4 s	135.5 s	152.6 s	139.8 s	162.8 s	155.8 s	157.8 s	147.9 s	165.6 s	159.2 s	172.6 s	156.5 s	184.7 s	176.0 s	193.6 s	170.3 s	188.6 s	169.7 s	182.7 s	158.2 s	176.1 s	160.4 s	172.5 s	152.6 s	171.4 s	156.7 s	169.0 s	152.6 s	167.8 s	151.9 s	168.1 s	151.7 s	162.0 s	149.5 s	165.7 s	147.1 s	155.4 s	145.7 s	166.7 s	140.9 s	153.1 s	148.6 s	153.5 s	138.7 s	140.2 s	138.0 s	153.7 s	135.9 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,CZ	: 	118.9 s	111.1 s	116.1 s	108.8 s	115.7 s	105.7 s	114.7 s	107.6 s	116.9 s	105.4 s	92.0 s	104.0 s	116.1 s	109.4 s	116.3 s	108.1 s	117.6 s	110.6 s	114.7 s	107.0 s	115.1 s	105.4 s	111.4 s	101.7 s	107.7 s	99.5 s	102.9 s	97.6 s	104.8 s	98.9 s	102.0 s	94.2 s	102.6 s	93.4 s	96.1 s	89.5 s	98.8 s	90.8 s	90.7 s	83.2 s	94.2 s	90.6 s	94.1 s	87.4 s	100.3 s	91.6 s	94.4 s	86.8 s	97.9 s	91.6 s	89.3 s	79.1 s	91.1 s	84.6 s	84.9 s	78.2 s	94.4 s	93.0 s	98.9 s	94.7 s	104.7 s	94.6 s	97.5 s	92.3 s	98.2 s	88.3 s	88.5 s	80.2 s	91.6 s	82.0 s	82.0 s	74.3 s	86.5 s	79.1 s	80.2 s	73.3 s	81.7 s	72.0 s	72.1 s	66.5 s	77.8 s	67.9 s	69.7 s	64.2 s	73.8 s	66.7 s	69.3 s	64.4 s	71.8 s	63.1 s	62.8 s	57.7 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,DE	: 	100.0 	97.8 	97.5 	96.0 	101.5 	96.9 	99.0 	96.4 	103.3 	94.7 	84.7 	97.3 	104.2 	102.8 	103.3 	101.5 	107.4 	105.8 	106.1 	102.1 	109.4 	106.0 	103.9 	98.3 	104.6 	101.9 	100.6 	97.7 	102.8 	100.7 	100.0 	95.5 	102.2 	98.7 	98.0 	96.4 	101.7 	98.2 	96.8 	92.6 	98.6 	98.2 	97.3 	94.6 	101.0 	98.6 	96.9 	93.5 	97.9 	92.2 	90.5 	83.2 	86.6 	83.7 	80.9 	78.9 	94.4 	98.3 	99.6 	98.2 	101.7 	98.4 	96.9 	93.6 	96.8 	93.4 	91.8 	87.0 	91.5 	87.6 	86.8 	83.3 	87.0 	85.1 	85.1 	81.6 	85.9 	82.0 	82.4 	80.4 	84.8 	82.9 	82.8 	79.7 	84.0 	83.3 	84.3 	82.7 	87.5 	84.6 	83.9 	79.3 	83.7 	80.3 	79.8 	76.3 	80.9 	79.2 	79.8 	76.9 	80.9 	76.7 	76.9 	73.1 	78.6 	75.2 	75.7 	71.1 	77.3 	74.8 	76.7 	73.6 	80.0 	73.9 	74.9 	71.3 	75.5 	70.9 	72.3 	70.8 	78.2 	75.1 	78.7 	77.8 	81.9 	76.0 	79.0 	77.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,DK	: 	139.6 s	129.1 s	130.5 s	125.9 s	124.4 s	114.4 s	112.0 s	114.0 s	112.5 s	103.8 s	103.9 s	110.0 s	114.7 s	109.4 s	111.8 s	112.7 s	118.0 s	105.2 s	106.1 s	108.4 s	111.9 s	102.7 s	106.2 s	106.1 s	112.8 s	99.3 s	101.2 s	102.3 s	102.8 s	97.8 s	100.3 s	99.1 s	104.0 s	96.4 s	96.8 s	99.4 s	104.2 s	93.5 s	96.0 s	97.9 s	102.9 s	95.7 s	96.2 s	97.1 s	101.6 s	93.6 s	99.0 s	97.1 s	101.8 s	93.1 s	96.1 s	94.6 s	96.7 s	92.0 s	94.7 s	101.6 s	112.6 s	106.8 s	111.4 s	114.6 s	120.3 s	107.7 s	112.1 s	115.3 s	122.9 s	109.6 s	116.1 s	116.8 s	116.2 s	107.1 s	113.0 s	111.3 s	112.2 s	103.3 s	109.1 s	107.8 s	113.1 s	104.7 s	107.8 s	110.4 s	114.5 s	104.0 s	108.4 s	110.9 s	114.0 s	103.7 s	105.7 s	110.3 s	111.9 s	100.3 s	104.2 s	104.5 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,EA19	: 	112.5 	106.1 	108.5 	107.0 	110.5 	103.1 	106.2 	104.5 	108.0 	97.4 	86.7 	99.8 	108.3 	102.6 	106.5 	105.0 	109.3 	103.1 	106.7 	103.9 	111.0 	102.4 	104.6 	101.2 	106.2 	99.0 	102.1 	100.0 	103.4 	97.7 	101.2 	97.8 	100.4 	95.2 	99.3 	96.6 	100.3 	94.7 	98.2 	94.5 	99.1 	95.9 	99.5 	97.2 	102.9 	98.4 	102.6 	100.1 	103.3 	95.8 	100.5 	95.2 	97.8 	91.5 	94.9 	93.5 	105.9 	105.9 	113.9 	112.5 	116.0 	108.4 	113.6 	110.0 	113.4 	104.5 	109.9 	104.7 	108.7 	100.1 	105.5 	101.3 	105.3 	97.8 	104.6 	100.8 	104.3 	95.3 	101.6 	99.7 	103.1 	95.6 	101.8 	98.7 	101.7 	95.1 	102.0 	100.0 	103.9 	94.9 	100.6 	96.0 	99.5 s	90.3 s	95.1 s	91.7 s	95.5 s	88.5 s	94.7 s	91.6 s	95.3 s	86.3 s	91.5 s	87.0 s	91.0 s	83.4 s	89.4 s	85.9 s	91.5 s	83.6 s	90.2 s	87.5 s	89.4 s	79.1 s	85.3 s	81.7 s	83.7 s	74.9 s	82.2 s	81.7 s	86.0 s	78.3 s	87.6 s	86.9 s	89.1 s	79.4 s	87.2 s	86.1 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,EA20	: 	112.5 	106.1 	108.6 	107.0 	110.6 	103.2 	106.3 	104.5 	108.0 	97.5 	86.7 	99.8 	108.3 	102.7 	106.5 	105.0 	109.3 	103.2 	106.7 	103.9 	111.0 	102.4 	104.6 	101.2 	106.2 	99.0 	102.1 	100.0 	103.4 	97.7 	101.2 	97.8 	100.4 	95.2 	99.3 	96.6 	100.3 	94.7 	98.2 	94.5 	99.1 	95.9 	99.6 	97.2 	102.9 	98.4 	102.7 	100.1 	103.3 	95.9 	100.6 	95.2 	97.9 	91.6 	95.0 	93.6 	106.0 	106.1 	114.0 	112.6 	116.1 	108.5 	113.6 	110.0 	113.5 	104.6 	109.9 	104.7 	108.7 	100.2 	105.6 	101.3 	105.4 	97.9 	104.6 	100.8 	104.3 	95.4 	101.6 	99.7 	103.1 	95.6 	101.8 	98.6 	101.7 	95.1 	102.0 	100.0 	103.9 	94.9 	100.6 	96.0 	99.4 s	90.3 s	95.1 s	91.7 s	95.5 s	88.4 s	94.7 s	91.6 s	95.3 s	86.3 s	91.5 s	87.0 s	91.0 s	83.3 s	89.4 s	85.9 s	91.4 s	83.6 s	90.2 s	87.5 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
