"STATISTIC","STATISTIC Label","TLIST(Q1)","Quarter","C02342V02816","Type of House","UNIT","VALUE"
"NDQ01","New Dwelling Completions","20111","2011Q1","06","Single house","Number","1156"
"NDQ01","New Dwelling Completions","20111","2011Q1","07","Scheme house","Number","447"
"NDQ01","New Dwelling Completions","20111","2011Q1","08","Apartment","Number","272"
"NDQ01","New Dwelling Completions","20111","2011Q1","-","All house types","Number","1875"
"NDQ01","New Dwelling Completions","20112","2011Q2","06","Single house","Number","1194"
"NDQ01","New Dwelling Completions","20112","2011Q2","07","Scheme house","Number","380"
"NDQ01","New Dwelling Completions","20112","2011Q2","08","Apartment","Number","217"
"NDQ01","New Dwelling Completions","20112","2011Q2","-","All house types","Number","1791"
"NDQ01","New Dwelling Completions","20113","2011Q3","06","Single house","Number","1197"
"NDQ01","New Dwelling Completions","20113","2011Q3","07","Scheme house","Number","305"
"NDQ01","New Dwelling Completions","20113","2011Q3","08","Apartment","Number","185"
"NDQ01","New Dwelling Completions","20113","2011Q3","-","All house types","Number","1687"
"NDQ01","New Dwelling Completions","20114","2011Q4","06","Single house","Number","1267"
"NDQ01","New Dwelling Completions","20114","2011Q4","07","Scheme house","Number","226"
"NDQ01","New Dwelling Completions","20114","2011Q4","08","Apartment","Number","148"
"NDQ01","New Dwelling Completions","20114","2011Q4","-","All house types","Number","1641"
"NDQ01","New Dwelling Completions","20121","2012Q1","06","Single house","Number","797"
"NDQ01","New Dwelling Completions","20121","2012Q1","07","Scheme house","Number","211"
"NDQ01","New Dwelling Completions","20121","2012Q1","08","Apartment","Number","123"
"NDQ01","New Dwelling Completions","20121","2012Q1","-","All house types","Number","1131"
"NDQ01","New Dwelling Completions","20122","2012Q2","06","Single house","Number","847"
"NDQ01","New Dwelling Completions","20122","2012Q2","07","Scheme house","Number","194"
"NDQ01","New Dwelling Completions","20122","2012Q2","08","Apartment","Number","76"
"NDQ01","New Dwelling Completions","20122","2012Q2","-","All house types","Number","1117"
"NDQ01","New Dwelling Completions","20123","2012Q3","06","Single house","Number","868"
"NDQ01","New Dwelling Completions","20123","2012Q3","07","Scheme house","Number","244"
"NDQ01","New Dwelling Completions","20123","2012Q3","08","Apartment","Number","93"
"NDQ01","New Dwelling Completions","20123","2012Q3","-","All house types","Number","1205"
"NDQ01","New Dwelling Completions","20124","2012Q4","06","Single house","Number","989"
"NDQ01","New Dwelling Completions","20124","2012Q4","07","Scheme house","Number","315"
"NDQ01","New Dwelling Completions","20124","2012Q4","08","Apartment","Number","154"
"NDQ01","New Dwelling Completions","20124","2012Q4","-","All house types","Number","1458"
"NDQ01","New Dwelling Completions","20131","2013Q1","06","Single house","Number","638"
"NDQ01","New Dwelling Completions","20131","2013Q1","07","Scheme house","Number","174"
"NDQ01","New Dwelling Completions","20131","2013Q1","08","Apartment","Number","77"
"NDQ01","New Dwelling Completions","20131","2013Q1","-","All house types","Number","889"
"NDQ01","New Dwelling Completions","20132","2013Q2","06","Single house","Number","721"
"NDQ01","New Dwelling Completions","20132","2013Q2","07","Scheme house","Number","281"
"NDQ01","New Dwelling Completions","20132","2013Q2","08","Apartment","Number","144"
"NDQ01","New Dwelling Completions","20132","2013Q2","-","All house types","Number","1146"
"NDQ01","New Dwelling Completions","20133","2013Q3","06","Single house","Number","727"
"NDQ01","New Dwelling Completions","20133","2013Q3","07","Scheme house","Number","267"
"NDQ01","New Dwelling Completions","20133","2013Q3","08","Apartment","Number","39"
"NDQ01","New Dwelling Completions","20133","2013Q3","-","All house types","Number","1033"
"NDQ01","New Dwelling Completions","20134","2013Q4","06","Single house","Number","861"
"NDQ01","New Dwelling Completions","20134","2013Q4","07","Scheme house","Number","433"
"NDQ01","New Dwelling Completions","20134","2013Q4","08","Apartment","Number","213"
"NDQ01","New Dwelling Completions","20134","2013Q4","-","All house types","Number","1507"
"NDQ01","New Dwelling Completions","20141","2014Q1","06","Single house","Number","625"
"NDQ01","New Dwelling Completions","20141","2014Q1","07","Scheme house","Number","309"
"NDQ01","New Dwelling Completions","20141","2014Q1","08","Apartment","Number","160"
"NDQ01","New Dwelling Completions","20141","2014Q1","-","All house types","Number","1094"
"NDQ01","New Dwelling Completions","20142","2014Q2","06","Single house","Number","712"
"NDQ01","New Dwelling Completions","20142","2014Q2","07","Scheme house","Number","365"
"NDQ01","New Dwelling Completions","20142","2014Q2","08","Apartment","Number","241"
"NDQ01","New Dwelling Completions","20142","2014Q2","-","All house types","Number","1318"
"NDQ01","New Dwelling Completions","20143","2014Q3","06","Single house","Number","728"
