"STATISTIC","STATISTIC Label","TLIST(Q1)","Quarter","C02342V02816","Type of House","C02106V02545","Urban and Rural","UNIT","VALUE"
"NDQ03","New Dwelling Completions","20111","2011Q1","-","All house types","1","Urban areas","Number","841"
"NDQ03","New Dwelling Completions","20111","2011Q1","-","All house types","5","Rural areas","Number","1033"
"NDQ03","New Dwelling Completions","20111","2011Q1","06","Single house","1","Urban areas","Number","152"
"NDQ03","New Dwelling Completions","20111","2011Q1","06","Single house","5","Rural areas","Number","1004"
"NDQ03","New Dwelling Completions","20111","2011Q1","07","Scheme house","1","Urban areas","Number","422"
"NDQ03","New Dwelling Completions","20111","2011Q1","07","Scheme house","5","Rural areas","Number","25"
"NDQ03","New Dwelling Completions","20111","2011Q1","08","Apartment","1","Urban areas","Number","267"
"NDQ03","New Dwelling Completions","20111","2011Q1","08","Apartment","5","Rural areas","Number","4"
"NDQ03","New Dwelling Completions","20112","2011Q2","-","All house types","1","Urban areas","Number","706"
"NDQ03","New Dwelling Completions","20112","2011Q2","-","All house types","5","Rural areas","Number","1081"
"NDQ03","New Dwelling Completions","20112","2011Q2","06","Single house","1","Urban areas","Number","136"
"NDQ03","New Dwelling Completions","20112","2011Q2","06","Single house","5","Rural areas","Number","1056"
"NDQ03","New Dwelling Completions","20112","2011Q2","07","Scheme house","1","Urban areas","Number","355"
"NDQ03","New Dwelling Completions","20112","2011Q2","07","Scheme house","5","Rural areas","Number","24"
"NDQ03","New Dwelling Completions","20112","2011Q2","08","Apartment","1","Urban areas","Number","215"
"NDQ03","New Dwelling Completions","20112","2011Q2","08","Apartment","5","Rural areas","Number","1"
"NDQ03","New Dwelling Completions","20113","2011Q3","-","All house types","1","Urban areas","Number","602"
"NDQ03","New Dwelling Completions","20113","2011Q3","-","All house types","5","Rural areas","Number","1085"
"NDQ03","New Dwelling Completions","20113","2011Q3","06","Single house","1","Urban areas","Number","149"
"NDQ03","New Dwelling Completions","20113","2011Q3","06","Single house","5","Rural areas","Number","1048"
"NDQ03","New Dwelling Completions","20113","2011Q3","07","Scheme house","1","Urban areas","Number","268"
"NDQ03","New Dwelling Completions","20113","2011Q3","07","Scheme house","5","Rural areas","Number","37"
"NDQ03","New Dwelling Completions","20113","2011Q3","08","Apartment","1","Urban areas","Number","185"
"NDQ03","New Dwelling Completions","20113","2011Q3","08","Apartment","5","Rural areas","Number","0"
"NDQ03","New Dwelling Completions","20114","2011Q4","-","All house types","1","Urban areas","Number","489"
"NDQ03","New Dwelling Completions","20114","2011Q4","-","All house types","5","Rural areas","Number","1152"
"NDQ03","New Dwelling Completions","20114","2011Q4","06","Single house","1","Urban areas","Number","136"
"NDQ03","New Dwelling Completions","20114","2011Q4","06","Single house","5","Rural areas","Number","1131"
"NDQ03","New Dwelling Completions","20114","2011Q4","07","Scheme house","1","Urban areas","Number","206"
"NDQ03","New Dwelling Completions","20114","2011Q4","07","Scheme house","5","Rural areas","Number","20"
"NDQ03","New Dwelling Completions","20114","2011Q4","08","Apartment","1","Urban areas","Number","147"
"NDQ03","New Dwelling Completions","20114","2011Q4","08","Apartment","5","Rural areas","Number","1"
"NDQ03","New Dwelling Completions","20121","2012Q1","-","All house types","1","Urban areas","Number","415"
"NDQ03","New Dwelling Completions","20121","2012Q1","-","All house types","5","Rural areas","Number","716"
"NDQ03","New Dwelling Completions","20121","2012Q1","06","Single house","1","Urban areas","Number","98"
"NDQ03","New Dwelling Completions","20121","2012Q1","06","Single house","5","Rural areas","Number","699"
"NDQ03","New Dwelling Completions","20121","2012Q1","07","Scheme house","1","Urban areas","Number","199"
"NDQ03","New Dwelling Completions","20121","2012Q1","07","Scheme house","5","Rural areas","Number","12"
"NDQ03","New Dwelling Completions","20121","2012Q1","08","Apartment","1","Urban areas","Number","118"
"NDQ03","New Dwelling Completions","20121","2012Q1","08","Apartment","5","Rural areas","Number","5"
"NDQ03","New Dwelling Completions","20122","2012Q2","-","All house types","1","Urban areas","Number","368"
"NDQ03","New Dwelling Completions","20122","2012Q2","-","All house types","5","Rural areas","Number","749"
"NDQ03","New Dwelling Completions","20122","2012Q2","06","Single house","1","Urban areas","Number","111"
"NDQ03","New Dwelling Completions","20122","2012Q2","06","Single house","5","Rural areas","Number","736"
"NDQ03","New Dwelling Completions","20122","2012Q2","07","Scheme house","1","Urban areas","Number","183"
"NDQ03","New Dwelling Completions","20122","2012Q2","07","Scheme house","5","Rural areas","Number","11"
"NDQ03","New Dwelling Completions","20122","2012Q2","08","Apartment","1","Urban areas","Number","74"
"NDQ03","New Dwelling Completions","20122","2012Q2","08","Apartment","5","Rural areas","Number","2"
"NDQ03","New Dwelling Completions","20123","2012Q3","-","All house types","1","Urban areas","Number","425"
"NDQ03","New Dwelling Completions","20123","2012Q3","-","All house types","5","Rural areas","Number","778"
"NDQ03","New Dwelling Completions","20123","2012Q3","06","Single house","1","Urban areas","Number","106"
"NDQ03","New Dwelling Completions","20123","2012Q3","06","Single house","5","Rural areas","Number","761"
"NDQ03","New Dwelling Completions","20123","2012Q3","07","Scheme house","1","Urban areas","Number","229"
"NDQ03","New Dwelling Completions","20123","2012Q3","07","Scheme house","5","Rural areas","Number","15"
"NDQ03","New Dwelling Completions","20123","2012Q3","08","Apartment","1","Urban areas","Number","90"
"NDQ03","New Dwelling Completions","20123","2012Q3","08","Apartment","5","Rural areas","Number","2"
"NDQ03","New Dwelling Completions","20124","2012Q4","-","All house types","1","Urban areas","Number","602"
"NDQ03","New Dwelling Completions","20124","2012Q4","-","All house types","5","Rural areas","Number","854"
"NDQ03","New Dwelling Completions","20124","2012Q4","06","Single house","1","Urban areas","Number","147"
"NDQ03","New Dwelling Completions","20124","2012Q4","06","Single house","5","Rural areas","Number","841"
"NDQ03","New Dwelling Completions","20124","2012Q4","07","Scheme house","1","Urban areas","Number","306"
"NDQ03","New Dwelling Completions","20124","2012Q4","07","Scheme house","5","Rural areas","Number","9"
"NDQ03","New Dwelling Completions","20124","2012Q4","08","Apartment","1","Urban areas","Number","149"
"NDQ03","New Dwelling Completions","20124","2012Q4","08","Apartment","5","Rural areas","Number","4"
"NDQ03","New Dwelling Completions","20131","2013Q1","-","All house types","1","Urban areas","Number","329"
"NDQ03","New Dwelling Completions","20131","2013Q1","-","All house types","5","Rural areas","Number","560"
"NDQ03","New Dwelling Completions","20131","2013Q1","06","Single house","1","Urban areas","Number","87"
"NDQ03","New Dwelling Completions","20131","2013Q1","06","Single house","5","Rural areas","Number","551"
"NDQ03","New Dwelling Completions","20131","2013Q1","07","Scheme house","1","Urban areas","Number","165"
"NDQ03","New Dwelling Completions","20131","2013Q1","07","Scheme house","5","Rural areas","Number","9"
"NDQ03","New Dwelling Completions","20131","2013Q1","08","Apartment","1","Urban areas","Number","77"
"NDQ03","New Dwelling Completions","20131","2013Q1","08","Apartment","5","Rural areas","Number","0"
"NDQ03","New Dwelling Completions","20132","2013Q2","-","All house types","1","Urban areas","Number","534"
"NDQ03","New Dwelling Completions","20132","2013Q2","-","All house types","5","Rural areas","Number","611"
"NDQ03","New Dwelling Completions","20132","2013Q2","06","Single house","1","Urban areas","Number","119"
"NDQ03","New Dwelling Completions","20132","2013Q2","06","Single house","5","Rural areas","Number","602"
"NDQ03","New Dwelling Completions","20132","2013Q2","07","Scheme house","1","Urban areas","Number","273"
"NDQ03","New Dwelling Completions","20132","2013Q2","07","Scheme house","5","Rural areas","Number","8"
"NDQ03","New Dwelling Completions","20132","2013Q2","08","Apartment","1","Urban areas","Number","142"
"NDQ03","New Dwelling Completions","20132","2013Q2","08","Apartment","5","Rural areas","Number","1"
"NDQ03","New Dwelling Completions","20133","2013Q3","-","All house types","1","Urban areas","Number","398"
"NDQ03","New Dwelling Completions","20133","2013Q3","-","All house types","5","Rural areas","Number","635"
"NDQ03","New Dwelling Completions","20133","2013Q3","06","Single house","1","Urban areas","Number","104"
"NDQ03","New Dwelling Completions","20133","2013Q3","06","Single house","5","Rural areas","Number","623"
"NDQ03","New Dwelling Completions","20133","2013Q3","07","Scheme house","1","Urban areas","Number","255"
"NDQ03","New Dwelling Completions","20133","2013Q3","07","Scheme house","5","Rural areas","Number","12"
"NDQ03","New Dwelling Completions","20133","2013Q3","08","Apartment","1","Urban areas","Number","39"
"NDQ03","New Dwelling Completions","20133","2013Q3","08","Apartment","5","Rural areas","Number","0"
"NDQ03","New Dwelling Completions","20134","2013Q4","-","All house types","1","Urban areas","Number","774"
"NDQ03","New Dwelling Completions","20134","2013Q4","-","All house types","5","Rural areas","Number","733"
"NDQ03","New Dwelling Completions","20134","2013Q4","06","Single house","1","Urban areas","Number","147"
"NDQ03","New Dwelling Completions","20134","2013Q4","06","Single house","5","Rural areas","Number","714"
"NDQ03","New Dwelling Completions","20134","2013Q4","07","Scheme house","1","Urban areas","Number","414"
"NDQ03","New Dwelling Completions","20134","2013Q4","07","Scheme house","5","Rural areas","Number","19"
"NDQ03","New Dwelling Completions","20134","2013Q4","08","Apartment","1","Urban areas","Number","213"
"NDQ03","New Dwelling Completions","20134","2013Q4","08","Apartment","5","Rural areas","Number","0"
"NDQ03","New Dwelling Completions","20141","2014Q1","-","All house types","1","Urban areas","Number","540"
"NDQ03","New Dwelling Completions","20141","2014Q1","-","All house types","5","Rural areas","Number","554"
"NDQ03","New Dwelling Completions","20141","2014Q1","06","Single house","1","Urban areas","Number","79"
"NDQ03","New Dwelling Completions","20141","2014Q1","06","Single house","5","Rural areas","Number","546"
"NDQ03","New Dwelling Completions","20141","2014Q1","07","Scheme house","1","Urban areas","Number","301"
"NDQ03","New Dwelling Completions","20141","2014Q1","07","Scheme house","5","Rural areas","Number","8"
"NDQ03","New Dwelling Completions","20141","2014Q1","08","Apartment","1","Urban areas","Number","160"
"NDQ03","New Dwelling Completions","20141","2014Q1","08","Apartment","5","Rural areas","Number","0"
"NDQ03","New Dwelling Completions","20142","2014Q2","-","All house types","1","Urban areas","Number","716"
"NDQ03","New Dwelling Completions","20142","2014Q2","-","All house types","5","Rural areas","Number","602"
"NDQ03","New Dwelling Completions","20142","2014Q2","06","Single house","1","Urban areas","Number","121"
"NDQ03","New Dwelling Completions","20142","2014Q2","06","Single house","5","Rural areas","Number","591"
"NDQ03","New Dwelling Completions","20142","2014Q2","07","Scheme house","1","Urban areas","Number","356"
"NDQ03","New Dwelling Completions","20142","2014Q2","07","Scheme house","5","Rural areas","Number","9"
"NDQ03","New Dwelling Completions","20142","2014Q2","08","Apartment","1","Urban areas","Number","239"
"NDQ03","New Dwelling Completions","20142","2014Q2","08","Apartment","5","Rural areas","Number","2"
"NDQ03","New Dwelling Completions","20143","2014Q3","-","All house types","1","Urban areas","Number","795"
"NDQ03","New Dwelling Completions","20143","2014Q3","-","All house types","5","Rural areas","Number","609"
"NDQ03","New Dwelling Completions","20143","2014Q3","06","Single house","1","Urban areas","Number","130"
"NDQ03","New Dwelling Completions","20143","2014Q3","06","Single house","5","Rural areas","Number","598"
"NDQ03","New Dwelling Completions","20143","2014Q3","07","Scheme house","1","Urban areas","Number","495"
"NDQ03","New Dwelling Completions","20143","2014Q3","07","Scheme house","5","Rural areas","Number","11"
"NDQ03","New Dwelling Completions","20143","2014Q3","08","Apartment","1","Urban areas","Number","170"
"NDQ03","New Dwelling Completions","20143","2014Q3","08","Apartment","5","Rural areas","Number","0"
"NDQ03","New Dwelling Completions","20144","2014Q4","-","All house types","1","Urban areas","Number","912"
"NDQ03","New Dwelling Completions","20144","2014Q4","-","All house types","5","Rural areas","Number","790"
"NDQ03","New Dwelling Completions","20144","2014Q4","06","Single house","1","Urban areas","Number","128"
"NDQ03","New Dwelling Completions","20144","2014Q4","06","Single house","5","Rural areas","Number","782"
"NDQ03","New Dwelling Completions","20144","2014Q4","07","Scheme house","1","Urban areas","Number","607"
"NDQ03","New Dwelling Completions","20144","2014Q4","07","Scheme house","5","Rural areas","Number","8"
"NDQ03","New Dwelling Completions","20144","2014Q4","08","Apartment","1","Urban areas","Number","177"
"NDQ03","New Dwelling Completions","20144","2014Q4","08","Apartment","5","Rural areas","Number","0"
"NDQ03","New Dwelling Completions","20151","2015Q1","-","All house types","1","Urban areas","Number","832"
"NDQ03","New Dwelling Completions","20151","2015Q1","-","All house types","5","Rural areas","Number","539"
"NDQ03","New Dwelling Completions","20151","2015Q1","06","Single house","1","Urban areas","Number","126"
"NDQ03","New Dwelling Completions","20151","2015Q1","06","Single house","5","Rural areas","Number","533"
"NDQ03","New Dwelling Completions","20151","2015Q1","07","Scheme house","1","Urban areas","Number","600"
"NDQ03","New Dwelling Completions","20151","2015Q1","07","Scheme house","5","Rural areas","Number","6"
"NDQ03","New Dwelling Completions","20151","2015Q1","08","Apartment","1","Urban areas","Number","106"
"NDQ03","New Dwelling Completions","20151","2015Q1","08","Apartment","5","Rural areas","Number","0"
"NDQ03","New Dwelling Completions","20152","2015Q2","-","All house types","1","Urban areas","Number","952"
"NDQ03","New Dwelling Completions","20152","2015Q2","-","All house types","5","Rural areas","Number","618"
"NDQ03","New Dwelling Completions","20152","2015Q2","06","Single house","1","Urban areas","Number","132"
