"STATISTIC","STATISTIC Label","TLIST(Q1)","Quarter","C03789V04537","Local Authority","UNIT","VALUE"
"NDQ05","New Dwelling Completion","20111","2011Q1","-","Ireland","Number","1875"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","39"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","52"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","61"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","168"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","17"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","72"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","30"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","118"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","144"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","93"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","15"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","126"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","40"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","62"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","11"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","48"
"NDQ05","New Dwelling Completion","20111","2011Q1","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","54"
