"STATISTIC","STATISTIC Label","TLIST(Q1)","Quarter","C03349V04063","Eircode Output","UNIT","VALUE"
"NDQ07","New Dwelling Completion","20121","2012Q1","-","All","Number","1131"
"NDQ07","New Dwelling Completion","20121","2012Q1","A41","A41: Ballyboughal","Number","0"
"NDQ07","New Dwelling Completion","20121","2012Q1","A42","A42: Garristown","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","A45","A45: Oldtown","Number","0"
"NDQ07","New Dwelling Completion","20121","2012Q1","A63","A63: Greystones","Number","7"
"NDQ07","New Dwelling Completion","20121","2012Q1","A67","A67: Wicklow","Number","8"
"NDQ07","New Dwelling Completion","20121","2012Q1","A75","A75: Castleblaney","Number","8"
"NDQ07","New Dwelling Completion","20121","2012Q1","A81","A81: Carrickmacross","Number","27"
"NDQ07","New Dwelling Completion","20121","2012Q1","A82","A82: Kells","Number","15"
"NDQ07","New Dwelling Completion","20121","2012Q1","A83","A83: Enfield","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","A84","A84: Ashbourne","Number","3"
"NDQ07","New Dwelling Completion","20121","2012Q1","A85","A85: Dunshaughlin","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","A86","A86: Dunboyne","Number","0"
"NDQ07","New Dwelling Completion","20121","2012Q1","A91","A91: Dundalk","Number","10"
"NDQ07","New Dwelling Completion","20121","2012Q1","A92","A92: Drogheda","Number","15"
"NDQ07","New Dwelling Completion","20121","2012Q1","A94","A94: Blackrock","Number","0"
"NDQ07","New Dwelling Completion","20121","2012Q1","A96","A96: Glenageary","Number","4"
"NDQ07","New Dwelling Completion","20121","2012Q1","A98","A98: Bray","Number","3"
"NDQ07","New Dwelling Completion","20121","2012Q1","C15","C15: Navan","Number","19"
"NDQ07","New Dwelling Completion","20121","2012Q1","D01","D01: Dublin 1","Number","37"
"NDQ07","New Dwelling Completion","20121","2012Q1","D02","D02: Dublin 2","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","D03","D03: Dublin 3","Number","1"
"NDQ07","New Dwelling Completion","20121","2012Q1","D04","D04: Dublin 4","Number","4"
"NDQ07","New Dwelling Completion","20121","2012Q1","D05","D05: Dublin 5","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","D06","D06: Dublin 6","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","D07","D07: Dublin 7","Number","3"
"NDQ07","New Dwelling Completion","20121","2012Q1","D08","D08: Dublin 8","Number","3"
"NDQ07","New Dwelling Completion","20121","2012Q1","D09","D09: Dublin 9","Number","0"
"NDQ07","New Dwelling Completion","20121","2012Q1","D10","D10: Dublin 10","Number","0"
"NDQ07","New Dwelling Completion","20121","2012Q1","D11","D11: Dublin 11","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","D12","D12: Dublin 12","Number","1"
"NDQ07","New Dwelling Completion","20121","2012Q1","D13","D13: Dublin 13","Number","3"
"NDQ07","New Dwelling Completion","20121","2012Q1","D14","D14: Dublin 14","Number","0"
"NDQ07","New Dwelling Completion","20121","2012Q1","D15","D15: Dublin 15","Number","1"
"NDQ07","New Dwelling Completion","20121","2012Q1","D16","D16: Dublin 16","Number","3"
"NDQ07","New Dwelling Completion","20121","2012Q1","D17","D17: Dublin 17","Number","0"
